y_lat,x_lon,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,crime_count_5mi,crime_score_5mi_weighted,latitude,longitude,calculated_total_energy,estimated_sqft,ghg_per_sqft,water_per_sqft,eui,eui_score,ghg_score,crime_score,composite_score,Grade
39.90963241,-75.23107496,3800035,08128-Airport,7000 Lindbergh,19153,1,2000,Self-Storage Facility,100209.3448275862,290607.1,0.0,0.0,0.0,,2.9,3.2,8.9,23.2,33.5,0.5833333333333333,No,Required Compliance,Complied,2024,46,19.5,39.90963241,-75.23107496,290607.1,100209.3448275862,0.00023151533462190016,0.0003343001599066231,2.9,0.9333333333333333,0.9333333333333333,0.8125,0.8566666666666667,A
39.92786439,-75.22805252,34522826,5660-2231 S 62nd St,2231 S 62nd St,19142,1,2020,Self-Storage Facility,47938.029411764706,162989.3,0.0,0.0,0.0,,3.4,3.5,9.8,13.0,5.2,0.8,No,Voluntary Compliance,Voluntarily Complied,2024,112,51.2,39.92786439,-75.22805252,162989.3,47938.029411764706,0.0002711834457844779,0.00010847337831379116,3.4,0.8833333333333333,0.8833333333333333,0.617816091954023,0.8177298850574714,A
39.92269861,-75.14382563,6455221,Westport Philadelphia Self Storage,1910 S. Christopher Columbus Blvd,19148,1,2005,Self-Storage Facility,137297.24285714288,842974.8,1079186.6,0.0,0.0,,14.0,15.7,27.7,131.3,1397.0,0.06666666666666665,No,Required Compliance,Complied,2024,125,45.6,39.92269861,-75.14382563,1922161.4000000001,137297.24285714288,0.0009563192768307593,0.010175004034520721,14.0,0.35,0.4,0.6573275862068966,0.38146551724137934,C
40.00736612,-75.17584547,6367344,U-Haul Moving & Storage Of Allegheny West (808059),2801 W Hunting Park Ave.,19129,1,1923,Self-Storage Facility,454709.0044052864,5202502.0,5119392.4,0.0,0.0,,22.7,23.5,45.2,728.5,121.1,0.6,No,Required Compliance,Complied,2024,85,43.3,40.00736612,-75.17584547,10321894.4,454709.0044052864,0.0016021235404229672,0.00026632417398108623,22.7,0.21666666666666667,0.25,0.6738505747126438,0.3739367816091954,C
39.91780104,-75.14611076,15087487,"27131-Philadelphia, PA",2351 S Swanson St,19148,1,2020,Self-Storage Facility,142806.5411764706,527655.6,686200.0,0.0,0.0,,8.5,8.9,15.8,78.5,55.8,0.55,No,Required Compliance,Complied,2024,133,48.8,39.91780104,-75.14611076,1213855.6,142806.5411764706,0.000549694708332688,0.0003907384041396686,8.5,0.5833333333333333,0.7,0.6372126436781609,0.6182758620689656,B
40.03060777,-75.10577112,6396423,CubeSmart - #549 (777 Mayfair St),777 Mayfair Street,19124,1,2005,Self-Storage Facility,68360.82722513088,662814.8,642877.0,0.0,0.0,,19.1,19.1,37.0,86.9,456.1,0.1166666666666667,No,Required Compliance,Complied,2024,92,36.9,40.03060777,-75.10577112,1305691.8,68360.82722513088,0.0012711958518848018,0.006671949689811946,19.1,0.2833333333333333,0.33333333333333337,0.7155172413793103,0.35727011494252875,C-
39.99960126,-75.10993781,11698404,3401 Makeshift LLC,3401 I Street,19134,1,2013,Office,109832.4924050633,6259806.8,2416960.1,0.0,0.0,53.0,79.0,81.7,185.5,627.0,692.8,0.7482014388489209,No,Required Compliance,Complied,2024,183,84.9,39.99960126,-75.10993781,8676766.9,109832.4924050633,0.005708693176948202,0.006307787293444519,79.0,0.25899280575539574,0.3093525179856115,0.3620689655172413,0.36557926072934754,C
40.04334137,-75.19119205,5021260,Germantown Manor,400-14 W. Hortter Street,19119,1,1925,Multifamily Housing,51492.96484374999,1549392.8,1087047.0,0.0,0.0,52.0,51.2,51.2,106.5,193.7,1523.8,0.625,No,Required Compliance,Complied,2024,49,19.5,40.04334137,-75.19119205,2636439.8,51492.96484374999,0.0037616789126002424,0.029592391982551626,51.2,0.46504237288135597,0.4957627118644068,0.8125,0.5662076271186441,B
39.99888986,-75.21930343,39041492,Belmont,2560-2564 Belmont Avenue,19131,2,2016,Multifamily Housing,101927.70873786406,3025386.2,1174035.4,0.0,0.0,61.0,41.2,41.6,95.6,327.9,6846.5,0.22669491525423724,No,Required Compliance,Complied,2024,35,14.6,39.99888986,-75.21930343,4199421.6,101927.70873786406,0.0032169858820557578,0.06717015505182905,41.2,0.6207627118644068,0.6355932203389831,0.8699712643678161,0.6152018799922073,B
39.93743502,-75.16308383,4590387,U-Haul Moving and Storage of South Philadelphia (1201-21) (808066),1201-21 Washington Ave,19147,2,1907,Self-Storage Facility,169147.1491712707,3985331.5,2137795.3,0.0,0.0,,36.2,38.6,82.6,463.3,70.2,0.5333333333333333,No,Required Compliance,Complied,2024,244,89.9,39.93743502,-75.16308383,6123126.8,169147.1491712707,0.0027390352262507455,0.00041502325249903377,36.2,0.06666666666666665,0.06666666666666665,0.3362068965517241,0.19057471264367815,F
40.07130885,-75.03828678,5014034,Robert Saligman Apts_Saligman North fka Holiday House,8900 Roosevelt Blvd,19115,1,1978,Multifamily Housing,201597.96745027124,7219898.0,3928469.6,0.0,0.0,65.0,55.3,57.2,124.4,842.3,13135.4,0.23728813559322037,No,Required Compliance,Complied,2024,45,18.0,40.07130885,-75.03828678,11148367.6,201597.96745027124,0.004178117520990248,0.0651564108811769,55.3,0.364406779661017,0.39830508474576276,0.8290229885057472,0.44673680109098,C+
39.95164298,-75.16740908,30887685,Two Liberty Place (BP),50 South 16th Street,19192,1,1990,Office,1256400.5234521579,44011402.20000001,281739.6,0.0,22673006.1,76.0,53.3,56.2,123.7,5026.0,11626.2,0.5719424460431655,07/28/2025,Required Compliance,Complied,2024,481,173.1,39.95164298,-75.16740908,66966147.90000001,1256400.5234521579,0.004000316703299578,0.009253577806586063,53.3,0.6330935251798562,0.6223021582733813,0.0431034482758621,0.503225006201935,B-
39.94941535,-75.16328163,18744692,Witherspoon Building,1319-1323 Walnut St.,19109,1,1897,Multifamily Housing,123947.06033519554,5729441.7,5363820.2,0.0,0.0,17.0,89.5,92.9,178.1,787.7,5350.0,0.4110169491525424,No,Required Compliance,Complied,2024,433,160.3,39.94941535,-75.16328163,11093261.9,123947.06033519554,0.006355132569258101,0.04316358924150163,89.5,0.08686440677966101,0.19279661016949157,0.08620689655172409,0.16183883693746348,F
